name,domain,city,country,career_url,enabled
TCS,tcs.com,Pune,India,https://www.tcs.com/careers/india,True
Infosys,infosys.com,Pune,India,https://www.infosys.com/careers.html,True
Accenture,accenture.com,Pune,India,https://www.accenture.com/in-en/careers,True
Cognizant,careers.cognizant.com,Pune,India,https://careers.cognizant.com/india-en/,True
Wipro,careers.wipro.com,Pune,India,https://careers.wipro.com/viewalljobs/,True
HCLTech,careers.hcltech.com,Pune,India,https://careers.hcltech.com/go/India/9553955/,True
Capgemini,capgemini.com,Pune,India,https://www.capgemini.com/in-en/careers/,True
Tech Mahindra,careers.techmahindra.com,Pune,India,https://careers.techmahindra.com/,True
LTIMindtree,ltimindtree.com,Pune,India,https://www.ltimindtree.com/careers/,True
Persistent Systems,careers.persistent.com,Pune,India,https://careers.persistent.com/,True
KPIT Technologies,kpit.com,Pune,India,https://www.kpit.com/careers-overview/,True
Zensar Technologies,zensar.com,Pune,India,https://www.zensar.com/careers,True
Cybage,cybage.com,Pune,India,https://www.cybage.com/careers/open-positions,True
Mphasis,careers.mphasis.com,Pune,India,https://careers.mphasis.com/,True
Virtusa,virtusa.com,Pune,India,https://www.virtusa.com/careers,True
NTT DATA,careers.nttdata.com,Pune,India,https://careers.nttdata.com/,True
IBM,ibm.com,Pune,India,https://www.ibm.com/careers,True
Deloitte,deloitte.com,Pune,India,https://www.deloitte.com/in/en/careers.html,True
PwC India,pwc.in,Pune,India,https://www.pwc.in/careers.html,True
EY,ey.com,Pune,India,https://www.ey.com/en_in/careers,True
KPMG India,kpmg.com,Pune,India,https://kpmg.com/in/en/home/careers.html,True
Synechron,synechron.com,Pune,India,https://www.synechron.com/en-in/careers,True
Fiserv,careers.fiserv.com,Pune,India,https://www.careers.fiserv.com/,True
Mastercard,careers.mastercard.com,Pune,India,https://careers.mastercard.com/us/en/pune-india,True
Barclays,home.barclays,Pune,India,https://home.barclays/careers/,True
Deutsche Bank,careers.db.com,Pune,India,https://careers.db.com/,True
UBS,ubs.com,Pune,India,https://www.ubs.com/global/en/careers.html,True
Citi,jobs.citi.com,Pune,India,https://jobs.citi.com/,True
BNY,bny.com,Pune,India,https://www.bny.com/corporate/en/careers.html,True
ADP,jobs.adp.com,Pune,India,https://jobs.adp.com/,True
NVIDIA,nvidia.com,Pune,India,https://www.nvidia.com/en-us/about-nvidia/careers/,True
Microsoft,jobs.careers.microsoft.com,Pune,India,https://jobs.careers.microsoft.com/global/en/search,True
Amazon,amazon.jobs,Pune,India,https://www.amazon.jobs/en/locations/pune-india,True
Cisco,jobs.cisco.com,Pune,India,https://jobs.cisco.com/,True
Dell Technologies,jobs.dell.com,Pune,India,https://jobs.dell.com/,True
VMware by Broadcom,broadcom.com,Pune,India,https://www.broadcom.com/company/careers,True
Siemens,jobs.siemens.com,Pune,India,https://jobs.siemens.com/,True
Eaton,jobs.eaton.com,Pune,India,https://jobs.eaton.com/,True
Honeywell,careers.honeywell.com,Pune,India,https://careers.honeywell.com/,True
John Deere,jobs.deere.com,Pune,India,https://jobs.deere.com/,True
Dassault Systèmes,careers.3ds.com,Pune,India,https://careers.3ds.com/,True
BMC Software,bmc.com,Pune,India,https://www.bmc.com/careers/careers.html,True
SAS,sas.com,Pune,India,https://www.sas.com/en_us/careers.html,True
Avalara,careers.avalara.com,Pune,India,https://careers.avalara.com/,True
PubMatic,pubmatic.com,Pune,India,https://pubmatic.com/careers/,True
Druva,druva.com,Pune,India,https://www.druva.com/company/careers,True
Qualys,qualys.com,Pune,India,https://www.qualys.com/company/careers/,True
Red Hat,redhat.com,Pune,India,https://www.redhat.com/en/jobs,True
EPAM Systems,epam.com,Pune,India,https://www.epam.com/careers,True
GlobalLogic,globallogic.com,Pune,India,https://www.globallogic.com/careers/,True
